question,options,correctAnswer,hints
"Which programming language is most commonly used for data science and machine learning?","Python,Java,C++,Ruby","Python","This language is known for its data science libraries like pandas and numpy,It's named after a snake,It's one of the most beginner-friendly programming languages"
"What is the most important skill for healthcare professionals when dealing with patients?","Technical expertise,Empathy,Physical strength,Public speaking","Empathy","This skill helps you understand patient feelings,It's about putting yourself in someone else's shoes,This skill helps build trust with patients"
"Which tool is essential for financial analysts in their daily work?","Photoshop,Excel,Final Cut Pro,AutoCAD","Excel","This tool is great for spreadsheets and calculations,It's part of Microsoft Office,It's used for creating financial models and charts"
"What is the primary responsibility of a graphic designer?","Writing code,Creating visual content,Managing databases,Conducting research","Creating visual content","This involves designing logos and layouts,It requires creativity and artistic skills,It's about communicating visually"
"Which skill is most important for a high school teacher?","Programming,Classroom management,Data analysis,Graphic design","Classroom management","This skill helps maintain order in the classroom,It's about creating a positive learning environment,It involves managing student behavior"
"What is the main focus of mechanical engineering?","Software development,Designing mechanical systems,Financial analysis,Medical research","Designing mechanical systems","This involves creating physical machines and devices,It requires understanding of physics and materials,It's about solving mechanical problems"
"Which programming paradigm is Scala primarily based on?","Object-oriented,Functional,Procedural,Logic","Functional","This paradigm treats computation as mathematical functions,It emphasizes immutable data and pure functions,It's known for its concise and expressive syntax"
"What is the primary role of a data scientist?","Writing documentation,Analyzing data,Managing projects,Teaching","Analyzing data","This involves working with large datasets,It requires statistical knowledge,It's about finding patterns and insights"
"Which skill is most important for a financial analyst?","Graphic design,Financial modeling,Web development,Public speaking","Financial modeling","This involves creating financial projections,It requires understanding of financial concepts,It's about analyzing business performance"
"What is the main responsibility of a software developer?","Writing code,Managing teams,Marketing,Research","Writing code","This involves creating software applications,It requires programming knowledge,It's about solving technical problems" 
